organ	activity_est
kidney_left	2084.79
kidney_right	2356.62
liver	196.24
small_bowel	0
spleen	1339.6
colon	136.312
duodenum	835.738
esophagus	0
gallbladder	0
heart	0
lung_lower_lobe_left	0
lung_lower_lobe_right	0
lung_middle_lobe_right	0
lung_upper_lobe_left	0
lung_upper_lobe_right	0
pancreas	298.551
spinal_cord	573.758
stomach	187.159
bones	0
muscles	0
others	56.8052
