series	organ	num_voxels	sum	mean	min	max
PET_WB_TRUEX2I14S0MM_AC_0102	kidney_left	4018	21303369	5302	2293	10642
PET_WB_TRUEX2I14S0MM_AC_0102	kidney_right	3609	19199434	5320	2222	9983
PET_WB_TRUEX2I14S0MM_AC_0102	liver	38676	199503201	5158	790	32122
PET_WB_TRUEX2I14S0MM_AC_0102	prostate	580	2493280	4299	1854	7903
PET_WB_TRUEX2I14S0MM_AC_0102	small_bowel	20290	67773355	3340	1003	6838
PET_WB_TRUEX2I14S0MM_AC_0102	spleen	8009	32656984	4078	1053	6419
